ページ,店舗/施設名称,緯度,経度,業種１,業種２,業種３,丁目
1,関東補聴器,36.3729539 ,140.4770094 ,ショップ,補聴器,,三の丸１丁目１
1,水戸駿優予備校,36.3728028 ,140.4769718 ,学習・訓練,塾,,三の丸１丁目１
1,SONY・家電 カメラのスナオシ,36.3726969 ,140.4754564 ,ショップ,電気店,,三の丸１丁目１
1,カメラのスナオシ,36.3726581 ,140.4755234 ,ショップ,カメラ屋,,三の丸１丁目１
1,水戸地方法務局,36.3726084 ,140.4766902 ,公共サービス,法務局,,三の丸１丁目１
1,スロットコインドゥー,36.3725803 ,140.4755610 ,娯楽,スロット,,三の丸１丁目１
1,水戸アンテナショップ 納豆カレー,36.3725803 ,140.4755958 ,外食,食堂,,三の丸１丁目１
1,松屋,36.3725782 ,140.4756468 ,外食,定食,,三の丸１丁目１
1,赤ひげ 居酒屋,36.3724896 ,140.4759150 ,外食,居酒屋,,三の丸１丁目１
1,優駿教育会館,36.3724800 ,140.4766400 ,学習・訓練,塾,,三の丸１丁目１
1,水戸駿優・本部,36.3724800 ,140.4766400 ,学習・訓練,塾,,三の丸１丁目１
1,インターネットカフェ COMIC BUSTER,36.3724162 ,140.4759579 ,娯楽,インターネットカフェ,,三の丸１丁目１
1,オゼ,36.3723665 ,140.4759204 ,外食,居酒屋,,三の丸１丁目１
1,共和堂整骨院,36.3721916 ,140.4763227 ,健康,整骨院,,三の丸１丁目１
1,代ゼミ水戸駅前校,36.3721765 ,140.4764005 ,学習・訓練,塾,,三の丸１丁目１
1,三菱ＵＦＪ信託銀行,36.3721549 ,140.4764944 ,金融,銀行,,三の丸１丁目１
1,SoftBank,36.3721333 ,140.4763844 ,ショップ,携帯電話,,三の丸１丁目１
1,徳川斉昭公像,36.3751898 ,140.4781166 ,歴史遺物,銅像,,三の丸１丁目２
1,三の丸歯科医院,36.3743210 ,140.4778301 ,医療,歯科,,三の丸１丁目２
1,山田病院,36.3742843 ,140.4775002 ,医療,病院,,三の丸１丁目２
1,目の美容室 心美,36.3742821 ,140.4778033 ,美容,エステ,,三の丸１丁目２
1,藤本化学,36.3742087 ,140.4777470 ,会社,研究用機器販売,,三の丸１丁目３
1,武藤法律事務所,36.3739819 ,140.4772159 ,サービス,法律事務所,,三の丸１丁目３
1,武石税理事務所,36.3737558 ,140.4774407 ,サービス,法律事務所,,三の丸１丁目３
1,田部井司法書士,36.3737277 ,140.4774300 ,サービス,法律事務所,,三の丸１丁目３
1,大同信号,36.3736715 ,140.4774005 ,会社,,,三の丸１丁目３
1,東京ボンボン,36.3736305 ,140.4773656 ,宿泊,ウィークリーマンション,,三の丸１丁目３
1,河原歯科医院,36.3734901 ,140.4761801 ,医療,歯科医院,,三の丸１丁目３
1,日本ボイラー協会,36.3734664 ,140.4761559 ,会社,,,三の丸１丁目３
1,茨城県木材協同組合連合会,36.3732785 ,140.4767326 ,公的機関,,,三の丸１丁目３
1,茨城県緑化推進機構,36.3732461 ,140.4767138 ,公的機関,,,三の丸１丁目３
1,茨城旅館衛生同業組合,36.3732115 ,140.4766950 ,公的機関,,,三の丸１丁目３
1,茨城県林業協会,36.3731856 ,140.4766736 ,公的機関,,,三の丸１丁目３
2,水戸中央郵便局,36.3745900 ,140.4739000 ,公共サービス,郵便局,,三の丸１丁目４
2,東日本旅客鉄道　日本貨物鉄道　水戸営業所,36.3743093 ,140.4744482 ,会社,貨物,,三の丸１丁目４
2,JR東日本水戸支社,36.3743000 ,140.4744600 ,会社,鉄道,,三の丸１丁目４
2,水戸平和記念館,36.3741592 ,140.4739882 ,歴史遺物,記念館,,三の丸１丁目４
2,タイクーン,36.3740825 ,140.4740566 ,ショップ,アロマ・お香 雑貨・小物・骨董品,,三の丸１丁目４
2,水戸隆盛堂,36.3740426 ,140.4740955 ,医療,漢方薬 薬局,,三の丸１丁目４
2,S&F JAZZ,36.3739270 ,140.4742068 ,外食,カジュアルバー,,三の丸１丁目４
2,たい夢,36.3738892 ,140.4742350 ,スイーツ,たい焼き 和菓子店,,三の丸１丁目４
2,とらや書店,36.3738124 ,140.4742994 ,書籍,古書,,三の丸１丁目４
2,SKB・ジェイコ,36.3737327 ,140.4743731 ,衣料,婦人服委託販売 リサイクルショップ,,三の丸１丁目４
2,柴沼理美容器具,36.3736873 ,140.4744080 ,ショップ,理美容機械器具・用品,,三の丸１丁目４
2,アロマショップ ナチュラリスト,36.3736506 ,140.4744442 ,健康,アロマショップ,,三の丸１丁目４
2,クリーニング ニチリキ,36.3735945 ,140.4744831 ,サービス,クリーニング,,三の丸１丁目４
2,サロンド・maile美容室,36.3735783 ,140.4745032 ,美容,美容室,,三の丸１丁目４
2,賃貸マイルーム館,36.3735254 ,140.4745448 ,住宅,不動産,,三の丸１丁目４
2,Vieea,36.3734865 ,140.4745810 ,美容,ネイル,,三の丸１丁目４
2,水戸京成ホテル,36.3734774 ,140.4756392 ,宿泊,ビジネスホテル,,三の丸１丁目４
2,あるじゃんすー,36.3734703 ,140.4745944 ,美容,エクステ,,三の丸１丁目４
2,大洋道書道用具,36.3734390 ,140.4746373 ,文具,書道用具,,三の丸１丁目４
2,東京ノーストクリニック水戸院,36.3734346 ,140.4746172 ,医療,形成外科・皮膚科・泌尿器科,,三の丸１丁目４
2,アサヒビール茨城支店,36.3734066 ,140.4752958 ,会社,飲料,,三の丸１丁目４
2,いちょう坂クリニック,36.3733699 ,140.4752770 ,医療,病院,内科　消化器内科　糖尿病・内分泌内科　循環器内科　呼吸器内科　アレルギー疾患内科,三の丸１丁目４
2,ソラティオ ワインバー,36.3733383 ,140.4747378 ,外食,ワインバー,,三の丸１丁目４
2,HARLEM WEARS,36.3733375 ,140.4747030 ,外食,ワインバー,,三の丸１丁目４
2,東京新聞 中日新聞,36.3733353 ,140.4752609 ,会社,新聞,,三の丸１丁目４
